"filename", "language", "Python", "XML", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\armel-cross-toolchain-base.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\arphic-public.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\array-input-method-pl.yml", "YAML", 0, 0, 0, 14, 0, 0, 2, 16
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\artistic-1.0-cl8.yml", "YAML", 0, 0, 0, 19, 0, 0, 1, 20
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\artistic-1.0.yml", "YAML", 0, 0, 0, 20, 0, 0, 1, 21
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\artistic-2.0.yml", "YAML", 0, 0, 0, 28, 0, 0, 1, 29
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\artistic-clarified.yml", "YAML", 0, 0, 0, 12, 0, 0, 1, 13
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\artistic-dist-1.0.yml", "YAML", 0, 0, 0, 15, 0, 0, 1, 16
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\artistic-perl-1.0.yml", "YAML", 0, 0, 0, 14, 0, 0, 1, 15
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aslp.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aslr.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\asmus.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\asn1.yml", "YAML", 0, 0, 0, 30, 0, 0, 1, 31
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\ati-eula.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\atkinson-hyperlegible-font.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\atlassian customer agreement.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\atlassian-marketplace-tou.yml", "YAML", 0, 0, 0, 12, 0, 0, 1, 13
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\atmel-firmware.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\atmel-linux-firmware.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
